match_id,player1_id,player2_id,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by
20191025-W-ITF_Szekesfehervar-QF-Kaja_Juvan-Katarina_Zavatska,p_37acfbf1,p_31515bda,20191025,ITF Szekesfehervar,QF,,1,Clay,,3,1,Lowell
20191024-W-Zhuhai-RR-Karolina_Muchova-Alison_Riske_Amritraj,p_09028a4f,p_767c06c5,20191024,Zhuhai,RR,16:50,Centre,Hard,Cecilia Alberti,3,1,Zindaras
20191024-W-Zhuhai-RR-Dayana_Yastremska-Kiki_Bertens,p_14cc6c8c,p_0c6fe0d8,20191024,Zhuhai,RR,19:10,Centre,Hard,Thomas Sweeney,3,1,Zindaras
20191022-W-Zhuhai-RR-Kiki_Bertens-Donna_Vekic,p_0c6fe0d8,p_99e889aa,20191022,Zhuhai,RR,15:55,Centre,Hard,Mariana Alves,3,1,Zindaras
20191019-W-Moscow-R32-Dayana_Yastremska-Daria_Kasatkina,p_14cc6c8c,p_e7f9c5bc,20191019,Moscow,R32,,,Hard,,3,1,Isaac
20191018-W-Moscow-QF-Veronika_Kudermetova-Anastasia_Pavlyuchenkova,p_96a70716,p_fdbb2ba4,20191018,Moscow,QF,7:10 PM,Centre,Hard,Kader Nouni,3,1,ChapelHeel66
20191018-W-Moscow-QF-Kirsten_Flipkens-Belinda_Bencic,p_46a7c8e4,p_3e8e0484,20191018,Moscow,QF,,Centre,Hard,Julie Kjendlie,3,1,Zindaras
20191018-W-Moscow-QF-Kiki_Bertens-Kristina_Mladenovic,p_0c6fe0d8,p_3cb140d6,20191018,Moscow,QF,12:10,Centre,Hard,Katarzyna Radwan-Cho,3,1,Zindaras
20191018-W-Moscow-QF-Karolina_Muchova-Ekaterina_Alexandrova,p_09028a4f,p_6d1bfae7,20191018,Moscow,QF,4:40 PM,2,Hard,Cecilia Alberti,3,1,ChapelHeel66
20191017-W-Moscow-R16-Kiki_Bertens-Kaia_Kanepi,p_0c6fe0d8,p_d54af05d,20191017,Moscow,R16,11:10,Centre,Hard,Cecilila Alberti,3,1,Zindaras
20191017-W-Moscow-R16-Elina_Svitolina-Veronika_Kudermetova,p_e48facb4,p_96a70716,20191017,Moscow,R16,1:45 PM,Centre,Hard,Miriam Bley,3,1,ChapelHeel66
20191016-W-Moscow-R16-Ekaterina_Alexandrova-Anna_Kalinskaya,p_6d1bfae7,p_691fff89,20191016,Moscow,R16,1:25 PM,Centre,Hard,Julie Kjendlie,3,1,ChapelHeel66
20191015-W-Moscow-R32-Ons_Jabeur-Veronika_Kudermetova,p_be780b7c,p_96a70716,20191015,Moscow,R32,4:20 PM,Centre,Hard,Kader Nouni,3,1,ChapelHeel66
20191015-W-Moscow-R32-Katerina_Siniakova-Polona_Hercog,p_4bd445b2,p_230c45aa,20191015,Moscow,R32,,1,Hard,,3,1,Lowell
20191015-W-Moscow-R32-Jana_Cepelova-Ekaterina_Alexandrova,p_0f7d810c,p_6d1bfae7,20191015,Moscow,R32,1:10 PM,2,Hard,Cecilia Alberti,3,1,ChapelHeel66
20191012-W-Tianjin-SF-Heather_Watson-Veronika_Kudermetova,p_a538a530,p_96a70716,20191012,Tianjin,SF,1:35 PM,Centre,Hard,Fabio Souza,3,1,ChapelHeel66
20191011-W-Tianjin-QF-Dayana_Yastremska-Veronika_Kudermetova,p_14cc6c8c,p_96a70716,20191011,Tianjin,QF,7:10 PM,Centre,Hard,,3,1,ChapelHeel66
20191011-W-Linz-QF-Coco_Gauff-Kiki_Bertens,p_bdaefbbe,p_0c6fe0d8,20191011,Linz,QF,,Centre,Hard,,3,1,Zindaras
20191010-W-Tianjin-R16-Shuai_Peng-Dayana_Yastremska,p_e84651a8,p_14cc6c8c,20191010,Tianjin,R16,,Centre,Hard,Ana Carvalho,3,1,Lowell
20191010-W-Linz-R16-Kiki_Bertens-Alison_Van_Uytvanck,p_0c6fe0d8,p_eb24e808,20191010,Linz,R16,,Centre,Hard,,3,1,Zindaras
20191009-W-Linz-R32-Misaki_Doi-Kiki_Bertens,p_66590840,p_0c6fe0d8,20191009,Linz,R32,18:35,Centre,Hard,,3,1,Zindaras
20191008-W-Tianjin-R32-Ajla_Tomljanovic-Veronika_Kudermetova,p_f5704e3c,p_96a70716,20191008,Tianjin,R32,3:05 PM,2,Hard,Juan Zhang,3,1,ChapelHeel66
20191005-W-Beijing-SF-Caroline_Wozniacki-Naomi_Osaka,p_c485c82d,p_b03573df,20191005,Beijing,SF,8:30PM,Diamond,Hard,Pierre Bacchi,3,1,Lowell
20191005-W-Beijing-SF-Ashleigh_Barty-Kiki_Bertens,p_d80cd92c,p_0c6fe0d8,20191005,Beijing,SF,14:40,Diamond,Hard,Juan Zhang,3,1,Zindaras
20191004-W-Beijing-QF-Naomi_Osaka-Bianca_Andreescu,p_b03573df,p_f6670c87,20191004,Beijing,QF,21:15,Diamond,Hard,Juan Zhang,3,1,Zindaras
20191004-W-Beijing-QF-Kiki_Bertens-Elina_Svitolina,p_0c6fe0d8,p_e48facb4,20191004,Beijing,QF,14:55,Lotus,Hard,Fabio Souza,3,1,Zindaras
20191003-W-Beijing-R16-Naomi_Osaka-Alison_Riske_Amritraj,p_b03573df,p_767c06c5,20191003,Beijing,R16,2:35PM,Diamond,Hard,Pierre Bacchi,3,1,Lowell
20191003-W-Beijing-R16-Jennifer_Brady-Bianca_Andreescu,p_674d140d,p_f6670c87,20191003,Beijing,R16,19:40,Diamond,Hard,Marija Cicak,3,1,Zindaras
20191003-W-Beijing-R16-Daria_Kasatkina-Ekaterina_Alexandrova,p_e7f9c5bc,p_6d1bfae7,20191003,Beijing,R16,4:50 PM,Lotus,Hard,Mariana Alves,3,1,ChapelHeel66
20191003-W-Beijing-R16-Caroline_Wozniacki-Katerina_Siniakova,p_c485c82d,p_4bd445b2,20191003,Beijing,R16,12:30 PM,,Hard,Fabio Souza,3,1,KleineBiere
20191002-W-Beijing-R32-Bianca_Andreescu-Elise_Mertens,p_f6670c87,p_59c756b5,20191002,Beijing,R32,15:55,Diamond,Hard,Juan Zhang,3,1,Zindaras
20191002-W-Beijing-R16-Kiki_Bertens-Polona_Hercog,p_0c6fe0d8,p_230c45aa,20191002,Beijing,R16,20:15,Lotus,Hard,Miriam Bley,3,1,Zindaras
20191002-W-Beijing-R16-Elina_Svitolina-Sofia_Kenin,p_e48facb4,p_c7124d39,20191002,Beijing,R16,10:50PM,Diamond,Hard,,3,1,Lowell
20191002-W-Beijing-R16-Belinda_Bencic-Petra_Kvitova,p_3e8e0484,p_8bed4944,20191002,Beijing,R16,5:30PM,Lotus,Hard,Marija Cicak,3,1,Lowell
20191002-W-Beijing-R16-Ashleigh_Barty-Saisai_Zheng,p_d80cd92c,p_3fbb3736,20191002,Beijing,R16,6:05PM,Diamond,Hard,Mariana Alves,3,1,Lowell
20191001-W-Beijing-R32-Yulia_Putintseva-Ashleigh_Barty,p_77ea55d7,p_d80cd92c,20191001,Beijing,R32,1:10PM,Diamond,Hard,Pierre Bacchi,3,1,Lowell
20191001-W-Beijing-R32-Caroline_Wozniacki-Christina_Mchale,p_c485c82d,p_6bf040e4,20191001,Beijing,R32,,,Hard,Marija Cicak,3,1,KleineBiere
20191001-W-Beijing-R32-Angelique_Kerber-Polona_Hercog,p_0a1966b0,p_230c45aa,20191001,Beijing,R32,,Moon,Hard,Thomas Sweeney,3,1,Zindaras
20190930-W-Beijing-R64-Caroline_Wozniacki-Lauren_Davis,p_c485c82d,p_85f27843,20190930,Beijing,R64,4:30 PM,,Hard,Emmanuel Joseph,3,1,KleineBiere
20190930-W-Beijing-R64-Bianca_Andreescu-Aliaksandra_Sasnovich,p_f6670c87,p_836a5a41,20190930,Beijing,R64,14:15,Diamond,Hard,Fabio Souza,3,1,Zindaras
20190930-W-Beijing-R32-Elina_Svitolina-Yafan_Wang,p_e48facb4,p_92c7afd2,20190930,Beijing,R32,,Moon,Hard,,3,1,Lowell
20190930-W-Beijing-R32-Dayana_Yastremska-Kiki_Bertens,p_14cc6c8c,p_0c6fe0d8,20190930,Beijing,R32,,Moon Court,Hard,Marta Mrozinska,3,1,Zindaras
20190929-W-Beijing-R64-Bernarda_Pera-Ekaterina_Alexandrova,p_aa262239,p_6d1bfae7,20190929,Beijing,R64,5:35 PM,Moon,Hard,Marta Mrozinska,3,1,ChapelHeel66
20190929-W-Beijing-R64-Anastasija_Sevastova-Elina_Svitolina,p_84a57976,p_e48facb4,20190929,Beijing,R64,5:15PM,Diamond,Hard,,3,1,Lowell
20190928-W-Wuhan-F-Aryna_Sabalenka-Alison_Riske_Amritraj,p_b706d056,p_767c06c5,20190928,Wuhan,F,,Center,Hard,,3,1,Lowell
20190928-W-Beijing-R64-Sofia_Kenin-Garbine_Muguruza,p_c7124d39,p_d53086db,20190928,Beijing,R64,12:50PM,Diamond,Hard,Mariana Alves,3,1,Lowell
20190928-W-Beijing-R64-Jelena_Ostapenko-Karolina_Pliskova,p_8ea54ddc,p_acc29a12,20190928,Beijing,R64,6:30PM,Diamond,Hard,Marija Cicak,3,1,Lowell
20190928-W-Beijing-R64-Donna_Vekic-Kiki_Bertens,p_99e889aa,p_0c6fe0d8,20190928,Beijing,R64,15:55,Diamond,Hard,Miriam Bley,3,1,Zindaras
20190926-W-Wuhan-QF-Elina_Svitolina-Alison_Riske_Amritraj,p_e48facb4,p_767c06c5,20190926,Wuhan,QF,,Center,Hard,Fabio Souza,3,1,Lowell
20190926-W-Wuhan-QF-Dayana_Yastremska-Petra_Kvitova,p_14cc6c8c,p_8bed4944,20190926,Wuhan,QF,,Center,Hard,Miriam Bley,3,1,Lowell
20190926-W-Wuhan-QF-Ashleigh_Barty-Petra_Martic,p_d80cd92c,p_c2b6ee54,20190926,Wuhan,QF,,Center,Hard,Pierre Bacchi,3,1,Lowell
20190925-W-Wuhan-R16-Svetlana_Kuznetsova-Elina_Svitolina,p_e4c4f746,p_e48facb4,20190925,Wuhan,R16,,Center,Hard,Isabell Seefried,3,1,Lowell
20190925-W-Wuhan-R16-Sloane_Stephens-Petra_Kvitova,p_6967ecb4,p_8bed4944,20190925,Wuhan,R16,,Centre,Hard,Pierre Bacchi,3,1,Lowell
20190925-W-Wuhan-R16-Dayana_Yastremska-Karolina_Pliskova,p_14cc6c8c,p_acc29a12,20190925,Wuhan,R16,,Center,Hard,,3,1,Isaac
