player_id,canonical_name,display_name,handedness,gender,first_seen,last_seen
p_54a270cb,dominika cibulkova,Dominika Cibulkova,R,W,,
p_2822275e,dominika salkova,Dominika Salkova,R,W,,
p_eded1a83,dominique monami,Dominique Monami,R,W,,
p_c0b7d064,donald young,Donald Young,L,M,,
p_99e889aa,donna vekic,Donna Vekic,R,W,,
p_de270910,dragos dima,Dragos Dima,R,M,,
p_3433b2b7,duck hee lee,Duck Hee Lee,R,M,,
p_4694b3ef,dudi sela,Dudi Sela,R,M,,
p_60e7c202,duje ajdukovic,Duje Ajdukovic,R,M,,
p_8d3f63ae,dusan lajovic,Dusan Lajovic,R,M,,
p_8dd6d3d9,dustin brown,Dustin Brown,R,M,,
p_11279b0a,dylan dietrich,Dylan Dietrich,R,M,,
p_f0213cb1,dzmitry zhyrmont,Dzmitry Zhyrmont,R,M,,
p_48408947,eddie dibbs,Eddie Dibbs,R,M,,
p_6aa48344,edouard roger vasselin,Edouard Roger Vasselin,R,M,,
p_1ec41d1c,eduardo masso,Eduardo Masso,L,M,,
p_626d0e84,eduardo russi,Eduardo Russi,R,M,,
p_c484a12d,eduardo struvay,Eduardo Struvay,R,M,,
p_87712268,egor gerasimov,Egor Gerasimov,R,M,,
p_6d1bfae7,ekaterina alexandrova,Ekaterina Alexandrova,R,W,,
p_996e952c,ekaterina kazionova,Ekaterina Kazionova,R,W,,
p_0bdcc75d,ekaterina reyngold,Ekaterina Reyngold,R,W,,
p_be363847,ekaterine gorgodze,Ekaterine Gorgodze,L,W,,
p_a065cbe9,eleana yu,Eleana Yu,R,W,,
p_74d87b34,elena bovina,Elena Bovina,R,W,,
p_2e7ded1b,elena dementieva,Elena Dementieva,R,W,,
p_24b74cdf,elena gabriela ruse,Elena Gabriela Ruse,R,W,,
p_b59759a8,elena giessler,Elena Giessler,R,W,,
p_9d9c0715,elena likhovtseva,Elena Likhovtseva,R,W,,
p_d9f730eb,elena micic,Elena Micic,R,W,,
p_53514e2c,elena milovanovic,Elena Milovanovic,R,W,,
p_c3431595,elena rybakina,Elena Rybakina,R,W,,
p_26c0f9e0,elena vesnina,Elena Vesnina,R,W,,
p_d2ea10c3,eleni daniilidou,Eleni Daniilidou,R,W,,
p_31af60e0,elias ymer,Elias Ymer,R,M,,
p_9df053b8,elina avanesyan,Elina Avanesyan,R,W,,
p_e48facb4,elina svitolina,Elina Svitolina,R,W,,
p_c45c2d49,eliot spizzirri,Eliot Spizzirri,R,M,,
p_0a7aedc0,elisabetta cocciaretto,Elisabetta Cocciaretto,R,W,,
p_59c756b5,elise mertens,Elise Mertens,R,W,,
p_c052f167,elizabeth mandlik,Elizabeth Mandlik,R,W,,
p_147f8c0f,elizaveta ianchuk,Elizaveta Ianchuk,R,W,,
p_d65c8116,ella mcdonald,Ella Mcdonald,L,W,,
p_a8e97dd1,ella seidel,Ella Seidel,R,W,,
p_f3a76340,elliot benchetrit,Elliot Benchetrit,R,M,,
p_f21a629d,elmer moller,Elmer Moller,R,M,,
p_655e9b55,elsa jacquemot,Elsa Jacquemot,R,W,,
p_75ae1cf5,elvina kalieva,Elvina Kalieva,R,W,,
p_3d82a1ac,emeline dartron,Emeline Dartron,R,W,,
p_3af56971,emerson jones,Emerson Jones,R,W,,
p_996c3cc7,emil ruusuvuori,Emil Ruusuvuori,R,M,,
p_c8780dea,emiliana arango,Emiliana Arango,R,W,,
p_29a3fccd,emilio gomez,Emilio Gomez,R,M,,
p_e5f4a91c,emilio nava,Emilio Nava,R,M,,
p_f1ad6675,emilio sanchez,Emilio Sanchez,R,M,,
p_c188d70d,emina bektas,Emina Bektas,R,W,,
p_102e4b2d,emma lene,Emma Lene,R,W,,
p_42f9c32a,emma navarro,Emma Navarro,R,W,,
p_e2c66da5,emma raducanu,Emma Raducanu,R,W,,
p_481f26b8,en shuo liang,En Shuo Liang,R,W,,
p_5b40618b,ena shibahara,Ena Shibahara,R,W,,
p_35de4551,enzo couacaud,Enzo Couacaud,R,M,,
p_de8aafde,ergi kirkin,Ergi Kirkin,R,M,,
p_c228e6b4,eri shimizu,Eri Shimizu,L,W,,
p_38a5e651,erika andreeva,Erika Andreeva,R,W,,
p_6960a0d0,erin routliffe,Erin Routliffe,R,W,,
p_13cc98b3,ernesto escobedo,Ernesto Escobedo,R,M,,
p_142d902a,ernests gulbis,Ernests Gulbis,R,M,,
p_f5b9605f,estrella cabeza candela,Estrella Cabeza Candela,R,W,,
p_048882ee,ethan quinn,Ethan Quinn,R,M,,
p_f40276c7,eugenie bouchard,Eugenie Bouchard,R,W,,
p_b0290b38,eva guerrero alvarez,Eva Guerrero Alvarez,R,W,,
p_65e750f3,eva lys,Eva Lys,R,W,,
p_643f943c,eva pfaff,Eva Pfaff,R,W,,
p_90790039,eva vedder,Eva Vedder,R,W,,
p_08221dee,evan furness,Evan Furness,R,M,,
p_5aaec630,evan king,Evan King,L,M,,
p_4cd3dc7e,evan zhu,Evan Zhu,R,M,,
p_640ad1a1,evgeniya rodina,Evgeniya Rodina,R,W,,
p_d2829b0d,evgeny donskoy,Evgeny Donskoy,R,M,,
p_3026dab9,evgeny korolev,Evgeny Korolev,R,M,,
p_8549a3b3,evialina laskevich,Evialina Laskevich,R,W,,
p_f6e504b1,fabian marozsan,Fabian Marozsan,R,M,,
p_ce5c548a,fabio fognini,Fabio Fognini,R,M,,
p_e2b21ded,fabrice santoro,Fabrice Santoro,R,M,,
p_ca6647e5,facundo arguello,Facundo Arguello,R,M,,
p_be9ca608,facundo bagnis,Facundo Bagnis,R,M,,
p_c37187d9,facundo diaz acosta,Facundo Diaz Acosta,L,M,,
p_c395c8a6,facundo mena,Facundo Mena,R,M,,
p_70686c25,fangran tian,Fangran Tian,R,W,,
p_1b980a03,fanny stollar,Fanny Stollar,R,W,,
p_db8d6eb1,farrukh dustov,Farrukh Dustov,R,M,,
p_636b3cab,federica di sarra,Federica Di Sarra,R,W,,
p_f814a18e,federica urgesi,Federica Urgesi,R,W,,
p_440d55d2,federico agustin gomez,Federico Agustin Gomez,R,M,,
p_8937fe34,federico arnaboldi,Federico Arnaboldi,R,M,,
p_7dd15465,federico cina,Federico Cina,R,M,,
p_8851ceba,federico coria,Federico Coria,R,M,,
p_ad8854d6,federico delbonis,Federico Delbonis,L,M,,
p_fcd7dec1,federico gaio,Federico Gaio,R,M,,
p_2075ba8a,federico luzzi,Federico Luzzi,R,M,,
p_085c9cb5,feliciano lopez,Feliciano Lopez,L,M,,
p_bb6469ce,felix auger aliassime,Felix Auger Aliassime,R,M,,
p_66b252b3,felix mantilla,Felix Mantilla,R,M,,
p_3a9d1490,fernanda contreras gomez,Fernanda Contreras Gomez,R,W,,
p_90ee52a1,fernando gonzalez,Fernando Gonzalez,R,M,,
p_2650223b,fernando meligeni,Fernando Meligeni,L,M,,
p_f0bf6c68,fernando romboli,Fernando Romboli,R,M,,
p_0bd1656e,fernando verdasco,Fernando Verdasco,L,M,,
p_b58397d5,fernon wibier,Fernon Wibier,R,M,,
p_5a1d0fac,filip bergevi,Filip Bergevi,R,M,,
p_5514000f,filip cristian jianu,Filip Cristian Jianu,R,M,,
p_5d1349d9,filip dewulf,Filip Dewulf,R,M,,
p_1012d5a8,filip horansky,Filip Horansky,R,M,,
p_4530e03d,filip krajinovic,Filip Krajinovic,R,M,,
p_543bb0e1,filip misolic,Filip Misolic,R,M,,
p_72853320,filippo volandri,Filippo Volandri,R,M,,
p_d07c7a03,fiona crawley,Fiona Crawley,R,W,,
p_c65903d7,fiona ferro,Fiona Ferro,R,W,,
p_e655071a,fitriadi m rifqi,Fitriadi M Rifqi,R,M,,
p_b6a93c38,flavia pennetta,Flavia Pennetta,R,W,,
p_9dcd04f3,flavio cobolli,Flavio Cobolli,R,M,,
p_8793e0d7,flavio saretta,Flavio Saretta,R,M,,
p_3ee614c3,florent serra,Florent Serra,R,M,,
p_46eb0959,florian mayer,Florian Mayer,R,M,,
p_1f997fba,frances tiafoe,Frances Tiafoe,R,M,,
p_51fe88be,francesca di lorenzo,Francesca Di Lorenzo,L,W,,
