match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by
20230114-M-Oeiras_CH-F-Arthur_Fils-Joris_De_Loore,Arthur Fils,Joris De Loore,R,R,20230114,Oeiras CH,F,11:00 A.M.,1,Hard,,3,1,james_new
20230112-M-Adelaide-QF-Alejandro_Davidovich_Fokina-Roberto_Bautista_Agut,Alejandro Davidovich Fokina,Roberto Bautista Agut,R,R,20230112,Adelaide,QF,,,Hard,,3,1,Ludo
20230111-M-Nonthaburi_CH-R16-Yasutaka_Uchiyama-Evgeny_Donskoy,Yasutaka Uchiyama,Evgeny Donskoy,R,R,20230111,Nonthaburi CH,R16,,1,Hard,,3,1,Shreyas
20230111-M-Auckland-R16-Casper_Ruud-Laslo_Djere,Casper Ruud,Laslo Djere,R,R,20230111,Auckland ,R16,,Indoor 1,Hard,P. Vieira Souza,3,1,BG
20230110-M-Auckland-R32-Ben_Shelton-Sebastian_Baez,Ben Shelton,Sebastian Baez,L,R,20230110,Auckland,R32,,Indoor 1,Hard,R. Lichtenstein ,3,1,BG
20230109-M-Australian_Open-Q1-Dimitar_Kuzmanov-Damir_Dzumhur,Dimitar Kuzmanov,Damir Dzumhur,R,R,20230109,Australian Open,Q1,,15,Hard,,3,1,Shreyas
20230108-M-Adelaide-F-Novak_Djokovic-Sebastian_Korda,Novak Djokovic,Sebastian Korda,R,R,20230108,Adelaide,F,3pm,,Hard,Jaume Campistol,3,1,Edo
20230107-M-United_Cup-SF-Hubert_Hurkacz-Taylor_Fritz,Hubert Hurkacz,Taylor Fritz,R,R,20230107,United Cup,SF,11:10 AM,Ken Rosewall Arena,Hard,Renaud Lichtenstein,3,1,Carrie
20230107-M-Pune-F-Benjamin_Bonzi-Tallon_Griekspoor,Benjamin Bonzi,Tallon Griekspoor,R,R,20230107,Pune,F,17:40,Center,Hard,Arnaud Gabas,3,1,Zindaras
20230106-M-Pune-SF-Benjamin_Bonzi-Botic_Van_De_Zandschulp,Benjamin Bonzi,Botic Van De Zandschulp,R,R,20230106,Pune,SF,16:50,Center,Hard,,3,1,Zindaras
20230106-M-Pune-SF-Aslan_Karatsev-Tallon_Griekspoor,Aslan Karatsev,Tallon Griekspoor,R,R,20230106,Pune,SF,15:10,Center Court,Hard,Carlos Ramos,3,1,Zindaras
20230106-M-Adelaide-QF-Karen_Khachanov-Daniil_Medvedev,Karen Khachanov,Daniil Medvedev,R,R,20230106,Adelaide,QF,,,Hard,Richard Haigh,3,1,Zindaras
20230106-M-Adelaide-QF-Jannik_Sinner-Sebastian_Korda,Jannik Sinner,Sebastian Korda,R,R,20230106,Adelaide,QF,,Centre,Hard,S. Cannavan ,3,1,BG
20230105-M-Adelaide-R16-Quentin_Halys-Novak_Djokovic,Quentin Halys,Novak Djokovic,R,R,20230105,Adelaide,R16,,Centre,Hard,C. Rask,3,1,BG
20230105-M-Adelaide-R16-Jannik_Sinner-Thanasi_Kokkinakis,Jannik Sinner,Thanasi Kokkinakis,R,R,20230105,Adelaide,R16,,Centre,Hard,N. Forcadell,3,1,BG
20230104-M-United_Cup-RR-Hubert_Hurkacz-Matteo_Berrettini,Hubert Hurkacz,Matteo Berrettini,R,R,20230104,United Cup,RR,6:40 PM,Pat Rafter Arena,Hard,Fergus Murphy,3,1,Carrie
20230104-M-Adelaide-R16-Daniil_Medvedev-Miomir_Kecmanovic,Daniil Medvedev,Miomir Kecmanovic,R,R,20230104,Adelaide,R16,,,Hard,Nacho Forcadell,3,1,Zindaras
20230103-M-United_Cup-RR-Hubert_Hurkacz-Stan_Wawrinka,Hubert Hurkacz,Stan Wawrinka,R,R,20230103,United Cup,RR,17:40,Pat Rafter Arena,Hard,Fergus Murphy,3,1,Carrie
20230103-M-United_Cup-RR-Casper_Ruud-Matteo_Berrettini,Casper Ruud,Matteo Berrettini,R,R,20230103,United Cup,RR,,Rafter,Hard,A. Tourte,3,1,BG
20230103-M-Pune-R32-Radu_Albot-Tim_Van_Rijthoven,Radu Albot,Tim Van Rijthoven,R,R,20230103,Pune,R32,14:40,Center Court,Hard,Carlos Ramos,3,1,Zindaras
20230103-M-Adelaide-R32-Roberto_Bautista_Agut-Andrey_Rublev,Roberto Bautista Agut,Andrey Rublev,R,R,20230103,Adelaide,R32,,,Hard,,3,1,Ludo
20230103-M-Adelaide-R32-Lorenzo_Sonego-Daniil_Medvedev,Lorenzo Sonego,Daniil Medvedev,R,R,20230103,Adelaide,R32,,Centre,Hard,Christian Rask,3,1,Zindaras
20230102-M-Pune-R32-Alex_Molcan-Laslo_Djere,Alex Molcan,Laslo Djere,L,R,20230102,Pune,R32,,,Hard,,3,1,Ludo
20230102-M-Adelaide-R32-Holger_Rune-Yoshihito_Nishioka,Holger Rune,Yoshihito Nishioka,R,L,20230102,Adelaide,R32,,,Hard,,3,1,Ludo
20230101-M-United_Cup-RR-Alexander_Bublik-Hubert_Hurkacz,Alexander Bublik,Hubert Hurkacz,R,R,20230101,United Cup,RR,6:40 PM,Pat Rafter Arena,Hard,Fergus Murphy,3,1,Carrie
20221218-M-Dutch_Championships-F-Tallon_Griekspoor-Botic_Van_De_Zandschulp,Tallon Griekspoor,Botic Van De Zandschulp,R,R,20221218,Dutch Championships,F,,,Hard,,3,1,Zindaras
20221204-M-Maia_CH-F-Maximilian_Neuchrist-Luca_Van_Assche,Maximilian Neuchrist,Luca Van Assche,R,R,20221204,Maia CH,F,,,Clay,,3,1,Zindaras
